ID;Инициатива;Волна;Экономия (ч/мес);Сложность (1-5);Уровень;Ставка (₽/ч);Месячная экономия (₽);Единовременные затраты (₽);Ежемесячные затраты (₽);Годовая экономия (₽);Годовые затраты (₽);Срок окупаемости (мес);ROI за год (%);Рекомендация
P-01;Аудит API САМО-тур;0;0;1;-;0;0;50000;0;0;0;-;-;ОБЯЗАТЕЛЬНО (prerequisite)
P-02;Закупка лицензий Power BI;0;0;1;-;0;0;0;15000;0;180000;-;-;ОБЯЗАТЕЛЬНО (prerequisite)
P-03;Назначение PM автоматизации;0;0;1;-;0;0;0;0;0;0;-;-;ОБЯЗАТЕЛЬНО (prerequisite)
P-04;Конфигурация Битрикс24;0;0;2;-;0;0;100000;0;0;0;-;-;ОБЯЗАТЕЛЬНО (prerequisite)
P-05;Подключение 1С к выгрузкам;0;0;3;-;0;0;400000;0;0;0;-;-;ОБЯЗАТЕЛЬНО (prerequisite)
AUTO-001;Напоминания о тайм-лимитах авиабилетов;1;40;3;L2;1190;47600;500000;0;571200;0;10;14%;ВНЕДРЯТЬ (критический риск)
AUTO-002;Контроль полноты документов по заявкам;1;28;3;L3;595;16660;400000;0;199920;0;24;-50%;ВНЕДРЯТЬ (качество)
AUTO-003;Динамическое ценообразование чартеров;2;55;5;L2;1190;65450;6000000;10000;785400;120000;95;-89%;СТРАТЕГИЧЕСКИЙ ПРОЕКТ
AUTO-004;Канал MICE 24/7 с автомаршрутизацией;2;20;3;L3;595;11900;450000;5000;142800;60000;63;-75%;ОТЛОЖИТЬ
AUTO-005;Сток-контроль авиабилетов GDS → 1С;2;81;5;L3;595;48195;5000000;30000;578340;360000;195;-96%;СТРАТЕГИЧЕСКИЙ ПРОЕКТ
AUTO-006;Замена Invoice Tracker (Google Таблицы);1;26;3;L3;595;15470;300000;0;185640;0;19;-38%;ВНЕДРЯТЬ (bottleneck)
AUTO-007;AI-помощник для IT-поддержки;2;44;3;L3;595;26180;400000;5000;314160;60000;19;-36%;ОТЛОЖИТЬ
AUTO-008;База знаний с полнотекстовым поиском;1;17;2;L3;595;10115;100000;0;121380;0;10;21%;ВНЕДРЯТЬ
AUTO-009;Автоматическая маршрутизация заявок;1;73;3;L3;595;43435;500000;0;521220;0;12;4%;ВНЕДРЯТЬ (высокий impact)
AUTO-010;Сверка данных пассажиров САМО ↔ GDS;2;18;3;L3;595;10710;400000;0;128520;0;37;-68%;ОТЛОЖИТЬ
AUTO-011;Интеграция САМО → Email-рассылки (Юнисендер);1;28;3;L3;595;16660;400000;3000;199920;36000;30;-59%;ОТЛОЖИТЬ
AUTO-012;RoiStat — завершение сквозной аналитики;1;33;3;L3;595;19635;500000;0;235620;0;25;-53%;ОТЛОЖИТЬ
AUTO-013;Шаблоны смет MICE (конфигуратор);1;33;2;L3;595;19635;150000;0;235620;0;8;57%;ВНЕДРЯТЬ
AUTO-014;Платёжный календарь (CF-управление);1;22;3;L2;1190;26180;400000;0;314160;0;15;-21%;ВНЕДРЯТЬ
AUTO-015;Сопоставление гостиниц от поставщиков (матчинг);2;50;5;L3;595;29750;5000000;0;357000;0;168;-93%;ОТЛОЖИТЬ
AUTO-016;Автоматическая ревизия туров без продаж;1;18;2;L3;595;10710;80000;0;128520;0;7;61%;ВНЕДРЯТЬ
AUTO-017;Мониторинг сроков действия цен;1;15;2;L2;1190;17850;80000;0;214200;0;4;168%;ВНЕДРЯТЬ
AUTO-018;Парсинг цен конкурентов;1;28;3;L2;1190;33320;450000;0;399840;0;14;-11%;ВНЕДРЯТЬ (конкурентность)
AUTO-019;Интеграция с FlyDubai (NDC API);2;18;4;L3;595;10710;1500000;5000;128520;60000;225;-95%;ОТЛОЖИТЬ
AUTO-020;Синхронизация с Уральскими авиалиниями U6;2;13;4;L3;595;7735;1200000;5000;92820;60000;449;-97%;ОТЛОЖИТЬ
