ID;Название;Тип;Волна;Фаза;Инструмент;Владелец;Исполнитель;Дата начала;Дата окончания;Длительность (дней);Зависит от;Бюджет (руб);Экономия (ч/мес);Статус;Приоритет;Риск
P-01;Аудит API САМО-тур;Prerequisite;0;Подготовка;САМО-тур;Логвинов Г.А.;IT-отдел;2026-02-19;2026-02-26;7;-;50 000;0;Запланировано;Критический;Средний
P-02;Закупка Power BI (15 лицензий);Prerequisite;0;Подготовка;Microsoft;Логвинов Г.А.;IT-отдел;2026-02-19;2026-02-24;5;-;180 000/год;0;Запланировано;Критический;Низкий
P-03;Назначение PM автоматизации;Prerequisite;0;Подготовка;HR;Ген.директор;HR;2026-02-19;2026-02-19;1;-;0;0;Запланировано;Критический;Низкий
P-04;Конфигурация Битрикс24;Prerequisite;0;Подготовка;Битрикс24;Логвинов Г.А.;IT-отдел;2026-02-19;2026-02-24;5;-;100 000;0;Запланировано;Критический;Низкий
P-05;Подключение 1С к выгрузкам (OData);Prerequisite;0;Подготовка;1С;Назарикова М.В.;Подрядчик 1С;2026-02-24;2026-03-07;12;-;400 000;0;Запланировано;Критический;Средний
TZ-03;САМО алерты (ревизия туров + мониторинг цен);ТЗ;1;Фаза 1 Quick Wins;САМО-тур встроенное;Баландина О.А.;IT-отдел;2026-02-27;2026-03-13;15;P-01;160 000;33;Запланировано;Высокий;Низкий
TZ-05;ИИ-генерация контента;ТЗ;1;Фаза 1 Quick Wins;ChatGPT + Midjourney;Маркетинг;Маркетинг;2026-02-27;2026-03-13;15;-;260 000;39;Запланировано;Высокий;Низкий
AUTO-008;База знаний с поиском;AUTO;1;Фаза 1 Quick Wins;Битрикс24;Логвинов Г.А.;IT-отдел;2026-02-27;2026-03-06;8;P-04;50 000;17;Запланировано;Средний;Низкий
AUTO-036;Шаблоны ответов Outlook;AUTO;1;Фаза 1 Quick Wins;Outlook встроенное;Акопова А.В.;Кл.сервис;2026-02-27;2026-03-03;5;-;20 000;7;Запланировано;Низкий;Низкий
AUTO-037;Пульс-опросы HR;AUTO;1;Фаза 1 Quick Wins;Happy Job;Жигалина Ю.А.;HR;2026-02-27;2026-03-06;8;-;50 000;7;Запланировано;Низкий;Низкий
AUTO-040;Определение ФО по городу;AUTO;1;Фаза 1 Quick Wins;Битрикс24;Акопова А.В.;IT-отдел;2026-02-27;2026-03-03;5;P-04;20 000;5;Запланировано;Низкий;Низкий
TZ-02;Шаблоны (сметы, КП, задачи);ТЗ;1;Фаза 1 Quick Wins;Битрикс24 Low-code;Преображенская Т.В.;IT-отдел;2026-03-03;2026-03-20;18;P-04;350 000;90;Запланировано;Высокий;Низкий
AUTO-030;Мониторинг тендеров;AUTO;1;Фаза 1 Quick Wins;Seldon/Контур;Питуркин С.А.;MICE;2026-03-03;2026-03-13;10;-;100 000;13;Запланировано;Средний;Низкий
AUTO-033;Задачи из писем;AUTO;1;Фаза 1 Quick Wins;Power Automate;Преображенская Т.В.;IT-отдел;2026-03-06;2026-03-13;8;P-04;50 000;13;Запланировано;Средний;Низкий
AUTO-039;Авто-отправка документов;AUTO;1;Фаза 1 Quick Wins;САМО-тур + Albato;Акопова А.В.;IT-отдел;2026-03-13;2026-03-20;8;P-01;80 000;18;Запланировано;Средний;Низкий
AUTO-043;Уведомления агентам;AUTO;1;Фаза 1 Quick Wins;Albato + Telegram Bot;Мурадян О.Ю.;IT-отдел;2026-03-13;2026-03-27;15;P-01;100 000;40;Запланировано;Высокий;Низкий
AUTO-048;Авторотация рекламы;AUTO;1;Фаза 1 Quick Wins;Яндекс.Директ;Маркетинг;Маркетинг;2026-03-13;2026-03-20;8;-;50 000;22;Запланировано;Высокий;Низкий
TZ-01;Интеграция САМО ↔ Битрикс24;ТЗ;1;Фаза 1 Quick Wins;Albato iPaaS;Мурадян О.Ю.;IT-отдел + Подрядчик;2026-03-20;2026-04-17;28;P-01 P-04;600 000;90;Запланировано;Высокий;Средний
TZ-04;Маршрутизация и workflow Б24;ТЗ;1;Фаза 1 Quick Wins;Битрикс24 Low-code;Преображенская Т.В.;IT-отдел;2026-03-27;2026-04-24;28;P-04;620 000;84;Запланировано;Высокий;Низкий
TZ-06;Email-рассылки из САМО;ТЗ;1;Фаза 1 Quick Wins;Albato + Юнисендер;Маркетинг;IT-отдел;2026-04-03;2026-04-24;21;P-01;286 000;37;Запланировано;Средний;Низкий
TZ-09;Контроль тайм-лимитов авиа;ТЗ;2;Фаза 2 Core;Power BI + Albato;Преображенская Т.В.;IT-отдел + Подрядчик;2026-04-17;2026-05-15;28;P-02;500 000;40;Запланировано;Критический;Средний
TZ-10;Контроль документов по заявкам;ТЗ;2;Фаза 2 Core;Битрикс24;Акопова А.В.;IT-отдел;2026-04-24;2026-05-15;21;P-04;400 000;28;Запланировано;Высокий;Низкий
AUTO-004;MICE 24/7 канал;AUTO;2;Фаза 2 Core;BotHelp + Б24;Питуркин С.А.;IT-отдел;2026-04-24;2026-05-08;14;P-04;300 000;20;Запланировано;Средний;Низкий
AUTO-006;Замена Invoice Tracker;AUTO;2;Фаза 2 Core;Битрикс24 смарт-процессы;Назарикова М.В.;IT-отдел;2026-04-24;2026-05-15;21;P-04;300 000;26;Запланировано;Средний;Низкий
AUTO-007;AI-помощник IT;AUTO;2;Фаза 2 Core;ChatGPT API + BotHelp;Логвинов Г.А.;IT-отдел;2026-05-01;2026-05-22;21;AUTO-008;400 000;44;Запланировано;Средний;Средний
TZ-07;Единая система отчётности (BI);ТЗ;2;Фаза 2 Core;Power BI;Назарикова М.В.;Подрядчик BI;2026-05-15;2026-06-26;42;P-02 P-05;2 180 000;86;Запланировано;Критический;Средний
